Inside Features: 
@NP^g->NP^g|NN,(PP^g->IN,NP^g*) : 1
@NX^g->(@NX^g->@NX^g,,*),NX^g : 1
VP^g->@VP^g,(S^g->NP^g,VP^g*) : 1
NP^g->(@NP^g->@NP^g,NN*),NN : 26
NP^g->(@NP^g->PRP$,NN*),POS : 1
VP^g->VBP,(VP^g->@VP^g*,NP^g) : 1
@NP^g->(@NP^g->@NP^g,CC*),, : 1
@S^g->NP^g|JJS,(VP^g->VBP*,ADJP^g|JJ) : 1
S^g->NP^g,(VP^g->MD*,VP^g) : 11
NP^g->(@NP^g->@NP^g,NNS*),'' : 1
@VP^g->(@VP^g->@VP^g*,VP^g),CC : 3
@SINV^g->(@SINV^g->@SINV^g,VP^g*),NP^g : 1
ADJP^g|QP^g->(@QP^g->$,CD*),CD : 1
@NP^g->(@NP^g->NP^g,JJS*),NNS : 1
S^g|VP^g->TO,(VP^g->@VP^g*,PP^g) : 10
@S^g->NP^g|NNS,(VP^g->MD,VP^g*) : 1
NP^g->NP^g,(SBAR^g|S^g->NP^g|PRP*,VP^g) : 2
NX^g->(@NX^g->@NX^g*,CC),NX^g|NNS : 1
NP^g->DT,(PRN^g->@PRN^g*,-RRB-) : 1
@S^g->(ADVP^g->RB,PP^g*),, : 1
VP^g->@VP^g,(SBAR^g->IN,S^g*) : 15
VP^g->VBP,(VP^g->@VP^g,PP^g*) : 3
PP^g->IN,(S^g|VP^g->VBG*,NP^g) : 5
@NP^g->(@NP^g->NP^g*,JJ),JJ : 3
VP^g->(@VP^g->VB,NP^g|NNP*),PP^g : 1
VP^g->VB,(NP^g->@NP^g*,PP^g) : 3
NP^g->@NP^g,(NX^g->@NX^g,NX^g*) : 1
@ADJP^g->(@ADJP^g->@ADJP^g*,``),JJ : 2
@UCP^g->(ADJP^g->@ADJP^g*,JJ),: : 1
PP^g->(@PP^g->PP^g,PP^g*),PP^g : 1
@NP^g->(@NP^g->NP^g,,*),PP^g : 2
VP^g->VBN,(S^g->``,NP^g|NN*) : 1
VP^g->@VP^g,(VP^g->@VP^g*,SBAR^g|S^g) : 1
PP^g->(@PP^g->@PP^g,IN*),S^g|VP^g : 1
@S^g->(@S^g->NP^g,VP^g*),. : 5
SBAR^g->RB,(S^g->NP^g,VP^g*) : 1
NP^g->(@NP^g->@NP^g*,''),SBAR^g : 2
@S^g->NP^g|NNS,(VP^g->VBP,VP^g*) : 1
@VP^g->VB,(NP^g->JJ,NN*) : 1
NP^g->(@NP^g->@NP^g*,,),PP^g : 1
@S^g->@S^g,(NP^g->JJS,NNS*) : 1
SBAR^g|S^g|VP^g->TO,(VP^g->VB*,S^g|VP^g) : 1
NP^g->NP^g|NNS,(ADJP^g->JJ,PP^g*) : 1
@VP^g->VB,(NP^g->NP^g|NNS,PP^g*) : 1
@VP^g->(@VP^g->VBP,PRN^g*),NP^g : 1
S^g->(@S^g->ADJP^g|JJ,PP^g*),SBAR^g : 1
S^g->NP^g|NNS,(VP^g->TO*,VP^g) : 5
S^g->(@S^g->NP^g,ADVP^g|RB*),VP^g|VBZ : 1
@VP^g->VBD,(PP^g->IN,NP^g*) : 3
@S^g->(@S^g->@S^g,NP^g|PRP*),`` : 1
VP^g->(@VP^g->ADVP^g|RB*,VBD),NP^g : 1
@NP^g->(@NP^g->@NP^g,,*),NP^g|NN : 1
NP^g->NP^g|NNS,(VP^g->VBN*,PP^g) : 2
VP^g->VB,(NP^g->NP^g,ADVP^g*) : 1
PP^g->IN,(NP^g->NP^g,SBAR^g|S^g*) : 1
VP^g->VBD,(S^g->NP^g*,VP^g) : 1
@NP^g->(@NP^g->PRP$*,ADJP^g),JJ : 1
@S^g->(NP^g->DT,NN*),ADVP^g|RB : 2
@NP^g->NP^g,(ADJP^g->RBS*,JJ) : 2
ADJP^g->(@ADJP^g->RB*,JJ),SBAR^g|S^g|VP^g : 1
@VP^g->VBN,(PP^g->IN*,NP^g) : 9
ADVP^g->(NP^g->CD,NNS*),RB : 1
PP^g->IN,(NP^g->@NP^g,PRN^g*) : 1
@VP^g->VBD,(S^g|VP^g->@VP^g*,VP^g) : 1
S^g->NP^g|PRP,(VP^g->MD*,VP^g) : 3
SBAR^g->WHNP^g|WDT,(S^g->PP^g,VP^g*) : 1
NP^g->@NP^g,(NP^g->RB,NN*) : 1
@S^g->@S^g,(NP^g->DT*,NNS) : 2
S^g|VP^g->VBG,(S^g->NP^g,ADJP^g|JJ*) : 1
VP^g->@VP^g,(VP^g->VB,PP^g*) : 2
PP^g->(@PP^g->JJ*,IN),SBAR^g : 1
VP^g->@VP^g,(VP^g->VBG,ADJP^g*) : 1
VP^g->VBG,(S^g|VP^g->TO*,VP^g) : 4
VP^g->VBD,(S^g->NP^g,VP^g*) : 1
S^g|VP^g->(@VP^g->VBZ,NP^g*),PP^g : 1
@VP^g->(VP^g->@VP^g,VP^g*),, : 1
@NP^g->(@NP^g->@NP^g,NP^g*),, : 8
NP^g->(@NP^g->@NP^g,NP^g|CD*),, : 1
@NP^g->(@NP^g->@NP^g*,JJ),NNP : 1
@NP^g->(@NP^g->@NP^g*,VP^g),, : 1
NP^g->NP^g,(VP^g->@VP^g,NP^g*) : 1
S^g|VP^g->(@VP^g->MD*,RB),VP^g : 1
@SQ^g->(@SQ^g->MD,NP^g|NNS*),ADVP^g|RB : 1
@S^g->ADVP^g|RB,(NP^g->@NP^g*,,) : 1
NP^g->(@NP^g->NP^g,PP^g*),PP^g : 7
VP^g->VBZ,(VP^g->@VP^g*,S^g|VP^g) : 1
@VP^g->(VP^g->VBZ,VP^g*),, : 1
ADJP^g->JJR,(PP^g->IN,NP^g*) : 2
@VP^g->(@VP^g->@VP^g,RB*),, : 1
@NP^g->(@NP^g->DT,CD*),NN : 1
@VP^g->(@VP^g->MD,RB*),ADVP^g|RB : 1
VP^g->VBD,(SBAR^g->IN,S^g*) : 4
NP^g->(NP^g->@NP^g*,NN),S^g|VP^g : 1
NP^g->NP^g,(ADVP^g->NP^g,RB*) : 1
NP^g->(NP^g->@NP^g*,NNP),VP^g : 1
S^g|VP^g->(@VP^g->VBG*,NP^g),S^g|VP^g : 2
VP^g->VBD,(VP^g->VBG,S^g|VP^g*) : 2
@NP^g->@NP^g,(NP^g->NP^g,PP^g*) : 9
PP^g->IN,(S^g|VP^g->VBG,NP^g|PRP*) : 1
VP^g->VBD,(PP^g->@PP^g*,NP^g) : 1
@S^g->(NP^g->@NP^g,VP^g*),VP^g : 1
@SINV^g->``,(S^g->NP^g|EX*,VP^g) : 1
VP^g->(@VP^g->@VP^g,PP^g|IN*),PP^g : 1
VP^g->@VP^g,(NP^g->@NP^g,S^g|VP^g*) : 1
@VP^g->VB,(PP^g->IN,NP^g*) : 2
@NP^g->(@NP^g->NNP*,NNP),CC : 2
NX^g->(@NX^g->@NX^g,CC*),NX^g|NNS : 1
@VP^g->VBP,(NP^g->DT,NN*) : 2
@NP^g->(@NP^g->@NP^g,NN*),NN : 6
NP^g->(@NP^g->NNP,FW*),NNP : 1
@VP^g->(@VP^g->VBG,NP^g|PRP*),ADVP^g : 1
@S^g->(@S^g->NP^g|NN,,*),NP^g : 1
@S^g->(NP^g->QP^g,NX^g*),VP^g : 1
@S^g->(@S^g->CC,NP^g*),, : 1
NP^g->NP^g,(VP^g->@VP^g,PP^g*) : 1
@VP^g->(@VP^g->VP^g,,*),VP^g : 2
S^g|VP^g->(@VP^g->VBD*,NP^g),NP^g : 1
VP^g->VB,(SBAR^g->WHNP^g|WP*,S^g) : 1
SBAR^g->IN,(FRAG^g->RB,ADVP^g*) : 1
S^g|VP^g->VBP,(ADJP^g->JJ,PP^g*) : 1
NP^g->NP^g|NNS,(PP^g->@PP^g*,'') : 1
@NP^g->(@NP^g->JJ,,*),JJ : 1
ADVP^g->(@ADVP^g->RB*,CC),RB : 1
VP^g->VBG,(NP^g->DT,NNS*) : 1
NP^g->(@NP^g->DT*,NNPS),POS : 1
@SINV^g->@SINV^g,(VP^g->MD,VP^g|VB*) : 1
NP^g->(@NP^g->NP^g,CC*),NP^g|NN : 1
VP^g->(@VP^g->VB,NP^g*),PP^g : 12
VP^g->VBP,(NP^g->DT,NNS*) : 1
VP^g->@VP^g,(NP^g->DT*,NN) : 5
@NP^g->@NP^g,(NP^g->QP^g,NN*) : 1
NP^g->(NP^g->JJ*,NN),PP^g : 2
@NP^g->NP^g,(PP^g->IN,NP^g*) : 9
S^g->NP^g,(VP^g->VBD,NP^g*) : 3
@S^g->@S^g,(VP^g->@VP^g*,ADVP^g) : 1
@NP^g->(NP^g->NP^g,NN*),CC : 2
VP^g->(@VP^g->VB*,ADJP^g),PP^g : 1
PP^g->IN,(S^g|VP^g->@VP^g,NP^g*) : 1
@NP^g->(NP^g->@NP^g*,NNP),, : 13
VP^g->(@VP^g->@VP^g,ADVP^g*),ADVP^g|RB : 1
SINV^g->@SINV^g,(VP^g->@VP^g*,PP^g) : 2
PP^g->TO,(NP^g->@NP^g*,PP^g) : 1
@S^g->NP^g,(VP^g->VBP*,SBAR^g) : 2
VP^g->VBD,(NP^g->JJ*,NN) : 1
NP^g->(NP^g->@NP^g,NP^g|NN*),PP^g : 1
@S^g->NP^g,(VP^g->VBZ,S^g|VP^g*) : 1
@S^g->(S^g->NP^g,VP^g*),CC : 3
PP^g->@PP^g,(NP^g->JJ*,NN) : 1
@NP^g->(@NP^g->@NP^g,``*),NP^g : 2
VP^g->VBZ,(VP^g->@VP^g,NP^g*) : 1
@S^g->(@S^g->@S^g*,S^g),, : 2
SQ^g->(@SQ^g->@SQ^g*,VP^g),. : 1
@NP^g->DT,(UCP^g->@UCP^g,NN*) : 1
NP^g->(@NP^g->NP^g|NN*,:),NP^g : 1
VP^g->@VP^g,(PP^g->@PP^g,SBAR^g*) : 1
VP^g->(@VP^g->VB,PRT^g|RP*),PP^g : 2
@NP^g->@NP^g,(PP^g->VBG,NP^g*) : 1
ADVP^g->(@ADVP^g->RB,CC*),RB : 1
VP^g->(@VP^g->VBG,NP^g*),PP^g : 1
VP^g->(@VP^g->@VP^g,NP^g*),S^g|VP^g : 1
VP^g->VB,(NP^g->NP^g|NNS,PP^g*) : 1
@S^g->(PP^g->IN,NP^g|NN*),, : 1
NP^g->NP^g|NNS,(PP^g->IN,NP^g*) : 9
@SBARQ^g->WHNP^g|WP,(SQ^g|VP^g->VBZ*,ADJP^g|JJ) : 1
NP^g->(@NP^g->NP^g,ADJP^g*),NNS : 1
S^g->(@S^g->@S^g,,*),VP^g : 1
@NX^g->(@NX^g->@NX^g*,NX^g),CC : 2
S^g->(@S^g->NP^g,VP^g|VBD*),. : 1
VP^g->(@VP^g->VBG*,PP^g),S^g : 1
UCP^g->@UCP^g,(ADVP^g->RB,IN*) : 1
@S^g->@S^g,(VP^g->VBD*,SBAR^g) : 2
SBAR^g->@SBAR^g,(SBAR^g->IN*,S^g) : 1
@NX^g->(@NX^g->@NX^g,NX^g*),CC : 2
S^g->NP^g,(VP^g->@VP^g,ADJP^g|RP*) : 1
NP^g->(ADJP^g->RB,VBN*),NNS : 1
@NP^g->(@NP^g->@NP^g*,NN),CC : 4
NP^g->(@NP^g->@NP^g*,``),NX^g|NN : 1
VP^g->@VP^g,(VP^g->VBN,S^g|VP^g*) : 1
ADJP^g->RB,(PP^g->TO*,NP^g|PRP) : 1
S^g|VP^g->TO,(VP^g->VB,ADVP^g|RB*) : 1
NP^g->(@NP^g->@NP^g*,NP^g),PP^g : 1
@NP^g->(NP^g->@NP^g*,,),CC : 1
@VP^g->(@VP^g->ADVP^g|RB,VP^g*),CC : 1
S^g->(NP^g->NP^g|JJ,PP^g*),VP^g : 1
@NP^g->(@NP^g->@NP^g*,NP^g|NN),, : 2
S^g|VP^g->VBZ,(VP^g->@VP^g,S^g|VP^g*) : 1
NP^g->NP^g|NN,(SBAR^g->WHNP^g|WDT,S^g|VP^g*) : 2
VP^g->VBZ,(VP^g->@VP^g,PP^g*) : 5
@NP^g->(@NP^g->DT,JJ*),`` : 2
NP^g->(@NP^g->@NP^g*,NNS),NNS : 3
ADJP^g->ADJP^g,(PP^g->IN,NP^g*) : 2
S^g->NP^g|PRP,(VP^g->@VP^g,PP^g*) : 2
@NP^g->(@NP^g->NNP,CC*),NNP : 1
@S^g->ADJP^g|JJ,(PP^g->IN,NP^g|NN*) : 1
@S^g->(NP^g->@NP^g,NN*),VP^g : 6
SINV^g->(@SINV^g->@SINV^g,.*),'' : 1
NP^g->(@NP^g->@NP^g*,VBG),NNS : 1
SBAR^g->WHNP^g|WP,(S^g|VP^g->VBD,NP^g|NNP*) : 1
UCP^g->(@UCP^g->NP^g|CD,CC*),ADJP^g|JJR : 1
VP^g->(@VP^g->PRN^g*,MD),VP^g : 1
@VP^g->VBP,(PRN^g->@PRN^g,:*) : 1
NP^g->(@NP^g->PRP$*,NN),POS : 1
@VP^g->@VP^g,(NP^g->NP^g,SBAR^g*) : 1
PP^g->IN,(NP^g->@NP^g*,NN) : 60
@VP^g->VBG,(PP^g->IN,NP^g*) : 5
@NP^g->(@NP^g->NP^g*,,),VP^g : 3
QP^g->(@QP^g->@QP^g,IN*),CD : 2
VP^g->VBZ,(VP^g->VBN,S^g*) : 1
NP^g->(@NP^g->@NP^g,NX^g*),'' : 3
S^g->(NP^g->@NP^g*,NNPS),VP^g : 1
@S^g->(S^g|VP^g->VBN*,PP^g),PRN^g : 1
NP^g->@NP^g,(NP^g->NN,NNS*) : 2
@S^g->(SBAR^g->WHADVP^g|WRB,S^g*),, : 2
S^g->NP^g,(VP^g->TO,VP^g|VB*) : 1
@PRN^g->-LRB-,(ADJP^g|QP^g->@QP^g*,CD) : 1
@NP^g->(@NP^g->NN,CC*),NN : 3
NX^g->(@NX^g->JJ,NN*),NNS : 1
SBAR^g->WHNP^g|WDT,(S^g|VP^g->VBD,VP^g*) : 3
@VP^g->VB,(NP^g->NP^g|NNS*,PP^g) : 1
@VP^g->(@VP^g->@VP^g,VBD*),NP^g : 1
NP^g->NP^g,(PP^g->TO*,NP^g|NNP) : 1
S^g->(NP^g->NP^g*,VP^g),VP^g : 3
@NP^g->@NP^g,(ADJP^g->RBR,JJ*) : 1
@NP^g->(@NP^g->@NP^g*,NNP),NN : 2
@S^g->NP^g,(VP^g->VBD,VP^g*) : 6
@S^g->(SBAR^g->IN,S^g*),, : 5
VP^g->VBN,(S^g->``*,NP^g|NN) : 1
VP^g->VBP,(S^g->NP^g*,VP^g) : 1
@S^g->@S^g,(NP^g|QP^g->IN*,CD) : 1
VP^g->VBP,(NP^g->@NP^g,NNS*) : 2
@NP^g->(@NP^g->NP^g*,:),JJ : 1
@S^g->NP^g|PRP,(VP^g->MD,VP^g*) : 2
NP^g->(NP^g->JJ*,NNS),SBAR^g : 1
@NP^g->(@NP^g->DT*,JJR),, : 1
@S^g->(@S^g->S^g*,:),CC : 1
SBAR^g|S^g->NP^g|PRP,(VP^g->MD,VP^g|VB*) : 1
NP^g->(@NP^g->NNP*,NN),NNS : 1
VP^g->VBZ,(NP^g->NP^g|NN*,SBAR^g) : 1
NP^g->NP^g,(SBAR^g->WHNP^g|WP,S^g|VP^g*) : 3
@VP^g->@VP^g,(SBAR^g->WHNP^g|WDT*,S^g|VP^g) : 1
@VP^g->(@VP^g->VBZ,CC*),VBZ : 2
@VP^g->@VP^g,(NP^g->@NP^g,NNS*) : 3
S^g|VP^g->(@VP^g->VBP*,CONJP^g),VBP : 1
@S^g->(NP^g->NNP*,NNP),VP^g : 12
S^g->NP^g|PRP,(VP^g->VBZ,NP^g*) : 1
VP^g->@VP^g,(S^g|VP^g->VBG,NP^g*) : 3
NP^g->(NP^g->NNS,POS*),NNS : 2
VP^g->VBD,(SBAR^g|S^g->@S^g*,VP^g) : 1
S^g->(@S^g->@S^g,VP^g|VBP*),. : 2
@S^g->@S^g,(NP^g->NP^g|JJ,PP^g*) : 1
VP^g->(@VP^g->VB*,NP^g|NNS),SBAR^g : 1
S^g->(@S^g->NP^g*,ADVP^g|RB),VP^g : 3
VP^g->(@VP^g->ADVP^g|RB*,VB),SBAR^g|S^g : 1
S^g->NP^g,(VP^g->VBP,S^g*) : 1
@S^g->(@S^g->@S^g*,ADVP^g|RB),, : 2
VP^g->NP^g|DT,(S^g|VP^g->@VP^g*,VP^g) : 1
VP^g->MD,(VP^g->VBN,ADJP^g|JJ*) : 1
NP^g->(@NP^g->NNP*,NNP),NNPS : 2
S^g->NP^g,(VP^g->VBP*,ADJP^g|JJ) : 1
@VP^g->(VP^g->VB,NP^g*),CC : 3
VP^g->(@VP^g->VBZ*,ADJP^g|JJ),SBAR^g : 1
@VP^g->(@VP^g->@VP^g*,VBD),NP^g : 1
@NP^g->(@NP^g->NP^g*,,),NP^g|NNS : 1
@NP^g->NP^g,(VP^g->VBN*,S^g|NP^g) : 1
VP^g->(@VP^g->VBP,PRT^g|RP*),NP^g : 1
NP^g->(QP^g->IN*,DT),NN : 1
SBAR^g|S^g|VP^g->TO,(VP^g->VB,PRT^g|RP*) : 1
SBAR^g->IN,(S^g->NP^g|JJS,VP^g*) : 1
NP^g->@NP^g,(SBAR^g->@SBAR^g,S^g*) : 2
NP^g->NP^g,(PP^g->IN,NP^g|NNS*) : 8
VP^g->(@VP^g->@VP^g*,,),ADVP^g|RB : 1
VP^g->(@VP^g->VB,NP^g|PRP*),PRT^g|RP : 1
@S^g->(NP^g->DT*,NNS),NP^g|PRP : 1
@S^g->(@S^g->@S^g,NP^g|PRP*),VP^g : 13
NP^g->(NP^g->@NP^g*,DT),SBAR^g : 1
SBAR^g->IN,(S^g|VP^g->@VP^g*,PP^g) : 2
@SINV^g->@SINV^g,(NP^g->@NP^g,SBAR^g*) : 1
@VP^g->VBG,(PP^g->TO,NP^g*) : 1
VP^g->VB,(VP^g->VBN*,PP^g) : 1
@S^g->(@S^g->@S^g,:*),ADVP^g|RB : 1
S^g->NP^g|PRP,(VP^g->VBZ,PP^g*) : 2
NP^g->@NP^g,(NP^g->NP^g|CD,PP^g*) : 2
VP^g->@VP^g,(S^g|VP^g->VBG,PP^g*) : 1
@NP^g->(@NP^g->@NP^g*,NNP),JJ : 2
@NP^g->(@NP^g->@NP^g,NN*),CC : 4
@S^g->(NP^g->DT*,NNS),ADVP^g|RB : 2
PRN^g->(@PRN^g->@PRN^g*,VBP),: : 1
NP^g->NP^g|NN,(ADJP^g->JJ,PP^g*) : 1
NP^g->(@NP^g->PRP$,NN*),S^g|VP^g : 1
NP^g->@NP^g,(NP^g->@NP^g,NNP*) : 2
PP^g->@PP^g,(NP^g->NP^g|NNS,SBAR^g*) : 1
VP^g->VBD,(NP^g->@NP^g*,SBAR^g) : 1
VP^g->(@VP^g->VBD*,PP^g),PP^g : 3
VP^g->VBP,(NP^g->NP^g*,PP^g) : 1
@S^g->@S^g,(NP^g->@NP^g,NNS*) : 3
PP^g->IN,(NP^g->NN*,NNS) : 8
@S^g->-LRB-,(S^g->NP^g*,VP^g) : 1
@S^g->NP^g,(VP^g->VBZ*,ADJP^g) : 1
NP^g->(@NP^g->IN,NNP*),CD : 1
VP^g->@VP^g,(PP^g->IN,NP^g|NNS*) : 2
S^g->@S^g,(S^g->NP^g|DT*,VP^g) : 1
VP^g->VB,(ADJP^g->RB*,JJ) : 1
NP^g->(@NP^g->NNS*,VBG),NNS : 1
NP^g->NP^g,(VP^g->ADVP^g|RB*,VBN) : 1
@S^g->(@S^g->``*,NP^g),VP^g : 1
S^g->(NP^g->VBN*,NNS),VP^g : 1
@NP^g->(@NP^g->NP^g|NNP,,*),NP^g|NNP : 1
@S^g->@S^g,(S^g->NP^g*,VP^g) : 5
@NP^g->(@NP^g->NP^g|NNP*,,),NP^g|NNP : 1
VP^g->VBD,(VP^g->VBN*,PP^g) : 2
S^g->NP^g,(VP^g->VBZ*,SBAR^g) : 1
NP^g->(QP^g->NN,JJR*),NN : 1
S^g->(@S^g->NP^g|NNS*,ADVP^g),VP^g : 1
S^g|VP^g->(@VP^g->VBN,PP^g*),PP^g : 1
@VP^g->@VP^g,(PP^g->IN,NP^g|NN*) : 2
VP^g->VBN,(VP^g->@VP^g*,PP^g) : 1
NP^g->NP^g,(SBAR^g->WHNP^g|WDT*,S^g) : 2
@S^g->(NP^g->NP^g,SBAR^g*),VP^g : 1
@ADJP^g->(ADJP^g->JJ,SBAR^g|S^g|VP^g*),CC : 1
SINV^g->(@SINV^g->MD*,NP^g|PRP),VP^g : 1
VP^g->@VP^g,(VP^g->VBN,VP^g|VBN*) : 2
@VP^g->(@VP^g->VBG*,PRT^g|RP),PP^g : 1
@S^g->@S^g,(VP^g->VBD*,NP^g) : 6
VP^g->@VP^g,(PP^g->TO,VP^g|VB*) : 1
ADJP^g->(ADJP^g->CD*,JJ),PRN^g : 1
@NP^g->(@NP^g->NP^g,JJ*),NNP : 1
VP^g->(@VP^g->@VP^g*,,),SBAR^g|SINV^g : 1
VP^g->(@VP^g->MD,ADVP^g|RB*),VP^g : 3
@S^g->NP^g|NN,(VP^g->VBZ,NP^g*) : 1
@S^g->(@S^g->ADVP^g*,,),PP^g : 1
NP^g->(@NP^g->NP^g*,PP^g),PP^g : 7
@S^g->@S^g,(VP^g->@VP^g,SBAR^g*) : 4
@PRN^g->-LRB-,(NP^g|QP^g->@QP^g,CD*) : 1
PRN^g->(@PRN^g->@PRN^g*,NP^g),: : 1
NP^g->(NP^g->CD*,NNS),NP^g : 2
NP^g->(@NP^g->@NP^g*,ADJP^g),NN : 1
@NP^g->(@NP^g->QP^g,NN*),CC : 1
S^g->NP^g|PRP,(VP^g->VBP*,PP^g) : 1
NP^g->(NP^g->@NP^g*,POS),NN : 11
@S^g->NP^g,(VP^g->VBD*,S^g|VP^g) : 1
PP^g->IN,(NP^g->@NP^g,NNPS*) : 6
PRN^g->(@PRN^g->,*,SBAR^g),, : 2
@S^g->(@S^g->@S^g*,NP^g|CD),VP^g : 1
QP^g->(@QP^g->@QP^g*,IN),CD : 2
S^g->(@S^g->NP^g|JJS*,VP^g),. : 1
@ADJP^g->(@ADJP^g->@ADJP^g,JJ*),, : 1
@NP^g->(@NP^g->NP^g,,*),ADJP^g : 2
VP^g->@VP^g,(VP^g->VBD,PP^g*) : 1
NP^g->(NP^g->@NP^g*,NNS),VP^g : 5
@VP^g->VBG,(NP^g->DT,NNP*) : 1
@NP^g->(@NP^g->DT,NN*),NN : 5
@S^g->(@S^g->S^g,:*),S^g : 5
NP^g->NP^g,(VP^g->VBN,ADVP^g|RB*) : 1
NP^g->(@NP^g->@NP^g*,NNP),NNPS : 4
@NP^g->(@NP^g->DT,JJ*),NNP : 5
VP^g->@VP^g,(VP^g->VB,SBAR^g*) : 1
@VP^g->VB,(NP^g->PRP$*,NNS) : 1
@S^g->ADJP^g|JJ,(PP^g->IN*,NP^g|NN) : 1
@S^g->(NP^g->JJ,NNS*),VP^g : 2
VP^g->VBD,(NP^g->@NP^g*,NN) : 3
@FRAG^g->(@FRAG^g->CC,RB*),ADVP^g|RB : 1
@NP^g->(@NP^g->NP^g*,``),NX^g|NN : 1
@S^g->SBAR^g,(VP^g->VBD,NP^g*) : 1
@SINV^g->(@SINV^g->@SINV^g,``*),S^g : 1
NP^g->(@NP^g->@NP^g*,CC),NN : 7
VP^g->VBZ,(ADJP^g->VBN,PP^g*) : 1
NP^g->NP^g,(PP^g->IN*,S^g) : 1
@VP^g->VBD,(NP^g->@NP^g,,*) : 1
NP^g->(@NP^g->DT*,NNP),NN : 4
VP^g->@VP^g,(S^g|VP^g->VBG*,S^g) : 2
@S^g->@S^g,(NP^g->DT*,NN) : 4
@NP^g->NP^g,(VP^g->VBN,S^g|NP^g*) : 1
SINV^g->(@SINV^g->@SINV^g*,PP^g),. : 1
S^g|VP^g->VBG,(S^g|VP^g->TO*,VP^g) : 1
ADJP^g->(@ADJP^g->@ADJP^g,JJ*),SBAR^g|S^g|VP^g : 1
@NP^g->(@NP^g->DT*,NNPS),CC : 1
@VP^g->(@VP^g->VP^g|VBZ,CC*),VP^g : 1
@SINV^g->``,(S^g->NP^g|NN*,VP^g) : 1
@NP^g->(@NP^g->@NP^g*,NNP),CC : 2
@VP^g->@VP^g,(VP^g->VB*,NP^g) : 1
NP^g->(@NP^g->@NP^g,NN*),S^g|VP^g : 1
S^g|VP^g->@VP^g,(PP^g->TO*,NP^g) : 2
S^g->@S^g,(S^g->NP^g|NN,VP^g*) : 1
VP^g->(@VP^g->@VP^g,NP^g*),PP^g : 4
PP^g->VBG,(NP^g->@NP^g*,NP^g) : 1
@NP^g->(@NP^g->JJ,NNP*),NNP : 3
NP^g->@NP^g,(NP^g->NP^g*,ADJP^g) : 1
@S^g->(@S^g->S^g,CC*),ADVP^g|RB : 1
S^g->NP^g|PRP,(VP^g->VBD*,NP^g) : 3
@NP^g->(@NP^g->DT,NNP*),`` : 1
VP^g->VBN,(NP^g->NP^g*,SBAR^g) : 2
NP^g->(NP^g->DT,NNS*),PP^g : 15
NP^g->(@NP^g->@NP^g,CC*),NN : 7
@NP^g->NP^g,(ADJP^g->@ADJP^g,ADJP^g|JJ*) : 1
@VP^g->(@VP^g->VBD*,,),`` : 1
NP^g->NP^g|NN,(PP^g->IN*,NP^g|NNP) : 1
SQ^g->(@SQ^g->@SQ^g*,SBAR^g),. : 2
VP^g->(@VP^g->VB,NP^g|NNS*),SBAR^g : 1
@PRN^g->,,(S^g->NP^g,VP^g|VBP*) : 1
@PRN^g->(@PRN^g->@PRN^g*,S^g),, : 1
@S^g->``,(NP^g->@NP^g,NN*) : 2
NP^g->NP^g,(PP^g->TO*,NP^g) : 4
VP^g->(@VP^g->VBD,ADJP^g|JJ*),S^g|VP^g : 1
@S^g->(S^g|VP^g->VBG*,S^g),, : 1
PP^g->TO,(NP^g->@NP^g,NN*) : 2
VP^g->@VP^g,(SBAR^g->@SBAR^g,S^g|VP^g*) : 1
S^g|VP^g->VBP,(NP^g->@NP^g,NNS*) : 1
NP^g->(@NP^g->@NP^g*,,),'' : 3
ADJP^g->JJ,(S^g|VP^g->TO,VP^g|VB*) : 1
NP^g->(@NP^g->@NP^g,CD*),NN : 1
NP^g->(@NP^g->CD,JJ*),NNS : 1
NP^g->@NP^g,(NP^g->NP^g|NN*,SBAR^g|S^g|VP^g) : 1
NP^g->(@NP^g->DT,JJ*),NNP : 2
NP^g->NP^g,(NP^g->@NP^g,NP^g*) : 1
S^g|VP^g->(@VP^g->VBZ,ADJP^g|JJ*),PP^g : 1
@NP^g->(@NP^g->NP^g*,PP^g),, : 1
VP^g->VBZ,(NP^g->NP^g,SBAR^g*) : 1
@NP^g->(@NP^g->@NP^g*,ADVP^g|RB),NP^g : 1
@S^g->NP^g|PRP,(VP^g->VBD,SBAR^g*) : 1
S^g->NP^g,(VP^g->MD,VP^g*) : 11
S^g|VP^g->TO,(VP^g->VB*,UCP^g) : 1
S^g->(NP^g->PRP$*,NX^g),VP^g : 1
VP^g->(@VP^g->VB,NP^g|PRP*),PP^g : 2
@S^g->(ADVP^g->RB,PP^g*),NP^g : 1
@VP^g->@VP^g,(PP^g->IN*,NP^g|PRP) : 1
S^g->(@S^g->SBAR^g*,VP^g),. : 2
@S^g->(SBAR^g->WHNP^g|WP*,S^g),VP^g : 1
PP^g->IN,(NP^g->@NP^g,FW*) : 1
NP^g->(NP^g->@NP^g,NP^g|QP^g*),SBAR^g|S^g : 1
VP^g->@VP^g,(VP^g->VB*,S^g|VP^g) : 4
NP^g->(@NP^g->DT,JJ*),NNS : 18
PP^g->IN,(NP^g->NP^g*,NNS) : 3
VP^g->VBD,(VP^g->@VP^g,S^g|VP^g*) : 2
VP^g->(@VP^g->VB*,PP^g),SBAR^g : 1
NP^g->@NP^g,(SBAR^g->WHNP^g|WP,S^g*) : 1
PP^g->TO,(NP^g->JJ,NN*) : 2
